what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1350176372506
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1350176372506
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1350176372507
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1350176372507
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1350176372507
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1350176372507
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1350176372507
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1350176372507
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1350176372507
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1350176372508
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1350176372508
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1350176372508
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1350176372508
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1350176372508
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1350176372508
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1350176372508
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1350176372508
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1350176372508
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1350176372508
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1350176372508
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1350176372508
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1350176372509
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1350176372509
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1350176372509
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1350176372510
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1350176372510
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1350176372510
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1350176372510
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1350176372510
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1350176372510
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1350176372510
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1350176372510
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1350176372510
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350176372510
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1350176372511
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1350176372511
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1350176372511
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1350176372511
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1350176372511
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1350176372511
os,sysinfo,,,"win32",1350176372514
arch,sysinfo,,,"x86_64",1350176372514
ws,sysinfo,,,"win32",1350176372514
locale,sysinfo,,,"en_US",1350176372515
processors,sysinfo,,,"4",1350176372515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350176372515
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1350176372515
java.specification.name,sysinfo,,,"Java Platform API Specification",1350176372515
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350176372515
java.specification.version,sysinfo,,,"1.6",1350176372515
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350176372515
java.version,sysinfo,,,"1.6.0_21",1350176372515
java.vm.info,sysinfo,,,"mixed mode",1350176372515
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350176372515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350176372515
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350176372515
java.vm.specification.version,sysinfo,,,"1.0",1350176372515
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350176372515
java.vm.version,sysinfo,,,"17.0-b17",1350176372515
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1350176372557
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1350176372557
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1350176374346
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1350176374403
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1350176374425
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176374449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176383010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176383098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176383109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176391106
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350176392040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176396982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176398363
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1350176398385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176408925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176461257
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176461308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176466484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176469904
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350176470464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176476486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176478601
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176478649
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1350176481364
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1350176481377
started,bundle,com.android.ide.eclipse.ndk,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ndk",1350176481426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176481874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176483551
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1350176483647
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1350176483795
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1350176483796
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1350176483864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176483889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176486330
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350176488029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176495038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176510725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176510772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176512096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176512959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176691059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176695426
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1350176938324
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1350176938335
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1350176938401
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1350176938492
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1350176939611
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1350176939623
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1350176939640
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1350176939646
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1350176939657
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1350176939662
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1350176939664
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1350176939666
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1350176939720
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1350176939722
error,log,,,"error loading catalog: system_catalog file:C:/Users/Devina/Desktop/340/nfcsmokingapplication/Eclipse Workspace/.metadata/.plugins/org.eclipse.wst.xml.core/system_catalog.xml",1350176939757
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1350176939764
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1350176939923
error,log,,,"Failed to load properties file for project 'NFC'",1350176940098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176940857
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1350176940901
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1350176940902
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1350176941447
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1350176941556
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1350176941727
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350176944083
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350176944318
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176951246
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176951374
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1350176956862
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350176956909
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350176963428
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1350176963650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176965459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350176965617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350176977750
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350177003217
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350177003270
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350177003289
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350177003330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350177005119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350177021747
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350177037889
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350177040697
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350177043838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1350177046545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1350177047057
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350177049865
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350177050059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1350177051203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350177051686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350177053791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350177060345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350177060486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350177061868
