what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1350604629731
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1350604629732
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1350604629733
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1350604629734
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1350604629736
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1350604629737
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1350604629738
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350604629739
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1350604629741
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1350604629742
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1350604629744
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1350604629744
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1350604629746
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1350604629748
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110819-1700,"org.eclipse.team.svn.core",1350604629749
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1350604629750
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1350604629752
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1350604629753
started,bundle,com.vectrace.MercurialEclipse,1.9.1.v201111302231,"com.vectrace.MercurialEclipse",1350604629755
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1350604629755
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1350604629756
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1350604629757
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1350604629758
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1350604629760
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1350604629761
os,sysinfo,,,"win32",1350604629767
arch,sysinfo,,,"x86_64",1350604629767
ws,sysinfo,,,"win32",1350604629767
locale,sysinfo,,,"en_US",1350604629767
processors,sysinfo,,,"4",1350604629767
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350604629767
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1350604629767
java.specification.name,sysinfo,,,"Java Platform API Specification",1350604629767
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350604629767
java.specification.version,sysinfo,,,"1.6",1350604629767
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350604629767
java.version,sysinfo,,,"1.6.0_21",1350604629767
java.vm.info,sysinfo,,,"mixed mode",1350604629767
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350604629767
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350604629767
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350604629767
java.vm.specification.version,sysinfo,,,"1.0",1350604629767
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350604629767
java.vm.version,sysinfo,,,"17.0-b17",1350604629767
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350604629814
