what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to load properties file for project 'NFC'",1350178875869
error,log,,,"Failed to load properties file for project 'NFC'",1350178876947
error,log,,,"Failed to load properties file for project 'NFC'",1350178876955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178885216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178887097
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350178887940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178889691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178890917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178893058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178897196
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350178897223
error,log,,,"Failed to load properties file for project 'NFC'",1350178901271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178901372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178919804
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350178919961
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350178919989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178922178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178922309
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350178922319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178924277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178929234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178931404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178933786
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350178946271
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350178960265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178965481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178969382
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350178969413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178985603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178989748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178996716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350178999567
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1350178999573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1350178999573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179004809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179105813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179112439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179146940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1350179147017
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350179156777
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350179156863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179158449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179159656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179161186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179162842
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350179167731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179169427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179179561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1350179179571
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350179183770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1350179204910
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1350179205268
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350179210837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179213266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179216964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1350179216975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179227391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179228507
error,log,,,"Failed to load properties file for project 'NFC'",1350179235586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179235667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179272220
error,log,,,"Failed to load properties file for project 'NFC'",1350179277836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179277910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179298510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179298941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179382019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179387528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179391065
error,log,,,"Failed to load properties file for project 'NFC'",1350179396436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179396522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179495272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179496864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179522432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179525598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179525626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350179525633
error,log,,,"Failed to load properties file for project 'NFC'",1350179555047
error,log,,,"Failed to load properties file for project 'NFC'",1350179555122
error,log,,,"Failed to load properties file for project 'NFC'",1350179555506
error,log,,,"Failed to load properties file for project 'NFC'",1350179556095
error,log,,,"Failed to load properties file for project 'NFC'",1350179556107
error,log,,,"Failed to load properties file for project 'NFC'",1350179556130
error,log,,,"Failed to load properties file for project 'NFC'",1350179556140
error,log,,,"Failed to load properties file for project 'NFC'",1350179556145
error,log,,,"Failed to load properties file for project 'NFC'",1350179556706
error,log,,,"Failed to load properties file for project 'NFC'",1350179556711
error,log,,,"Failed to load properties file for project 'NFC'",1350179556727
error,log,,,"Failed to load properties file for project 'NFC'",1350179557818
error,log,,,"Failed to load properties file for project 'NFC'",1350179557823
error,log,,,"Failed to load properties file for project 'NFC'",1350179562206
error,log,,,"Failed to load properties file for project 'NFC'",1350179562212
error,log,,,"Failed to load properties file for project 'NFC'",1350179562217
error,log,,,"Failed to update a TargetChangeListener.",1350179562223
error,log,,,"Failed to load properties file for project 'NFC'",1350179562227
error,log,,,"Failed to load properties file for project 'NFC'",1350179562232
error,log,,,"Failed to load properties file for project 'NFC'",1350179562239
error,log,,,"Failed to load properties file for project 'NFC'",1350179562242
error,log,,,"Failed to load properties file for project 'NFC'",1350179562245
error,log,,,"Failed to load properties file for project 'NFC'",1350179562249
error,log,,,"Failed to load properties file for project 'NFC'",1350179562252
error,log,,,"Failed to load properties file for project 'NFC'",1350179562260
